name	path	filter	prompt	titel	autor	projektuebersicht						
13	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_094_137.jpg	Adaptionen	front view of an astronaut sitting on a cheap folding chair holding an empty fish tank on his lap. The background landscape is that of a deserted, dystopian tundra that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere. Something is reflecting in his helmet.	Die Suche nach Leben 6/6	Swaantje Meyer	meyer						
14	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Blumstein_Alina/01_Szenen_Blumstein_Alina_137.jpg	Szenen	everything melts heavily, abstract, art	Abstract Dinner 2	Alina Blumstein	blumstein						
27	https://github.com/maroeplin/bvk-128-03/blob/main/Projektserie/Rothe_P_Langer_J/27_Charaktere_Paul_Rothe_137.jpg?raw=true	Charaktere	the king of egypt from the opra aida inspired by hall in a egyptian space suit singing, costume design Iris van Herpen mixed with digital screens displaying aritficial intellintelige images of Radamès, inspired from a 2001: a space odyssey, kodak 800, --style 2tO1HJiv5yw8O2c4sB2XCFfCJ --v 5.2 --ar 16:9	king of egypt	Paul und Jannis	rothe						
28	https://github.com/maroeplin/bvk-128-03/blob/main/Projektserie/Rothe_P_Langer_J/28_Charaktere_Paul_Rothe_137.jpg?raw=true	Charaktere	orchestra from the opra aida in a space suit playing instruments, costume design Iris van Herpen mixed with digital screens and inspired by the movie 2001: a space odyssey, kodak 800, --style 2tO1HJiv5yw8O2c4sB2XCFfCJ --ar 16:9 --v 5.2	Orchester	Paul und Jannis	rothe						
29	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/137/29_Charaktere_Reuters_Moritz_137.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters						
30	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/137/30_Charaktere_Reuters_Moritz_137.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters						
28	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/137/28_Charaktere_Jannis_Langer_137.jpg	Charaktere	transparent, minimalistic, cables, plastic, space suite --style 2KajWZfllBw5RLYRISgRA2XzP --ar 16:9 --v 5.2	Königen Gertrude	Jannis Langer	  langer						
29	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/137/29_Charaktere_Jannis_Langer_137.jpg	Charaktere	transparent, minimalistic, cables, plastic, space suite --style 2KajWZfllBw5RLYRISgRA2XzP --ar 16:9 --v 5.2	Königen Gertrude	Jannis Langer	  langer						
30	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/137/30_Charaktere_Jannis_Langer_137.jpg	Charaktere	transparent, minimalistic, cables, plastic, space suite --style 2KajWZfllBw5RLYRISgRA2XzP --ar 16:9 --v 5.2	Königen Gertrude	Jannis Langer	  langer						
31	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/137/31_Charaktere_Jannis_Langer_137.jpg	Charaktere	transparent, minimalistic, cables, plastic, space suite --style 2KajWZfllBw5RLYRISgRA2XzP --ar 16:9 --v 5.2	Königen Gertrude	Jannis Langer	  langer						
