nummer	path	filter	prompt	titel	autor	projektuebersicht																									
00	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/00_Objekte_Matzick_Monolith%20(1).jpg	Objekte	Explore the mysterious Monolith from 2001: A Space Odyssey, standing tall in the middle of a desert landscape. Surrounded by lush greenery and overgrown weeds, the Monolith appears ancient and abandoned.	Monolith	Isabel Matzick	matzick																									
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Giessmann_Alina/03_Adaption_Giessmann_Alina_Monolith_2.jpg	Adaption	landscape, monolith, Organic forms, Curved lines, Antoni Gaudi, organic architecture, Asymmetry, Natural forms, Whiplash curves, Aesthetic movement, organic rooms, Biomimicry,  out of Space, hexagonal structure, honeycomb	Monolith 2	Alina Giessmann	giessmann																									
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Giessmann_Alina/03_Adaption_Giessmann_Alina_Monolith_3.jpg	Adaption	landscape, monolith, Organic forms, Curved lines, Antoni Gaudi, organic architecture, Asymmetry, Natural forms, Whiplash curves, Aesthetic movement, organic rooms, Biomimicry,  out of Space, hexagonal structure, honeycomb	Monolith 3	Alina Giessmann	giessmann																									
05	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/05_Szenen_Jakob_Vasilega_Sarah_Dariia_013.png	Szenen	make more russian, soviet union, tundra, atmosphere of the movie solaris by Andrei Tarkowski, lonely, wasted, keep apes as is	Affen & Monolith	Sarah Jakob Dariia Vasilega	jakobvasilega																									
18	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/00_Objekt_Roessler_Tamm_013_00.jpg	Objekte	a levitating monolith, translucent plastic casing, filled with plastic cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, displays, A24, Arri Alexa, Helios 44-2	Monolithic Structure	Lukas Rössler, Benjamin Tamm	roessler																									
19	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/00_Objekt_Roessler_Tamm_013_01.jpg	Objekte	a levitating monolith, translucent plastic casing, completely filled with plastic cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, displays, A24, Arri Alexa, Helios 44-2	Monolithic Structure	Lukas Rössler, Benjamin Tamm	roessler																									
20	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/00_Objekt_Roessler_Tamm_013_02.jpg	Objekte	an extremely large, monumental monolith, translucent plastic casing, completely filled with plastic cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, displays, A24, Arri Alexa, Helios 44-2	Monolithic Structure	Lukas Rössler, Benjamin Tamm	roessler																									
20	\Datenbank\Videos\00_Objekte_Reimers_Glaeserne_Monolithe1und2.mp4	Objekte	the thing in the center is made of colorful stained glass depicting abstract shapes and patterns. The light passes through the glass. In the background there is the desert	Gläserne_Monolithe_1_und_2 (mp4)	Merle Reimers	reimers																									
22	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/03_Adaptionen_Schmidt_Monolith_013.jpg	Adaption	A mysterious and otherworldly image of a steampunk monolith standing in a desert landscape. The monolith is rectangular and tall, and it is made of copper, brass, gears, valves, and leather. The monolith has a faint glow, which creates a sense of wonder and awe. The landscape is a vast desert, and it is set in the late afternoon hours. The sky is a dark orange, and the sun is just starting to set. The landscape is dotted with large, organic rock formations. The horizon is hazy. The monolith takes up a large portion of the image, and it looms over the landscape. The overall scene is dark, cool, and slightly misty. It has a calm, mystical, and futuristic atmosphere.	Monolith in Wüstenlandschaft (Serie 01/02)	Lena Schmidt	schmidt																									
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/03_Adaptionen_Guth_Antonia_013.jpg	Adaptionen	Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, weird monolith	Stop Motion	Antonia Guth	guth																									
14	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Freynhagen_Hannah/01_Szenen_Freynhagen_Hannah_013_00.jpg	Szenen  fake apes in a modern museum standing opposite of a big black screen with information  Gorilla Screens  Hannah Freynhagen  freynhagen																													
15	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Freynhagen_Hannah/01_Szenen_Freynhagen_Hannah_013_01.jpg	Szenen	apes as greek statues in a museum the walls are orange in the middle of a room is a huge stone block  Gorilla Statuen   Hannah Freynhagen  freynhagen																												
16	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Rein_Jessica/01_Szenen_Rein_Jessica_013.jpg	Szenen	Turn this scene in the style of "Alice in Wonderland" (2010, director Tim Burton) with just a few accents --no person, human, face, people	Monolith	Jessica Rein	rein																									
26	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Stein_Nathalie/03_Adaption_Stein_013.jpg	Adaption	a solid black monolith in the style of "H.R. Giger" standing in a wasteland ; the monolith is made up of organic and inorganic shapes like a biomechanical spaceship console  Monolith	Nathalie Stein	stein																										
10	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Lai_Sarah_Nathalie/10_Adaption_Lai_Sarah_01.png	destroyed spaceship on the ground midsommar cosmic horror surreal lovecraftian 2001 a space odyssey bright daylight cinematic  Adaption Sarah Lai  lai																													
10	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Lai_Sarah_Nathalie/10_Adaption_Lai_Sarah_02.png	destroyed spaceship on the ground midsommar cosmic horror surreal lovecraftian 2001 a space odyssey bright daylight cinematic  Adaption Sarah Lai  lai																													
10	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Lai_Sarah_Nathalie/10_Adaption_Lai_Sarah_03.png	destroyed spaceship on the ground midsommar cosmic horror surreal lovecraftian 2001 a space odyssey bright daylight cinematic	Adaption	Sarah Lai	lai																										
30	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Wojciechowski_Daniel/01_Szenen_Wojciechowski_VastDesert-5_013.jpg	Szenen	analog style, "Reimagine the cinematic landscape of '2001: A Space Odyssey' in a surreal and detailed desert setting. Transform the iconic scenes, introducing weird and unconventional elements while preserving the vastness of the desert. The scene should be captured through the lens of a Hasselblad camera to evoke a timeless and nuanced aesthetic. Introduce peculiar rock formations and hills that defy the laws of gravity, creating an otherworldly and dreamlike atmosphere. Encourage the AI to experiment with unique lighting conditions, casting unusual shadows across the desert landscape. The goal is to generate a reimagination of '2001: A Space Odyssey' that is both visually striking and conceptually rich, introducing weird yet captivating details within the vastness of the desert, all captured through the lens of a Hasselblad camera."	VastDesert-5	Daniel Wojciechowski	wojciechowski																									
31	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Widera_Maxima/03_Adaption_Widera_Maxima_013.png	Adaption	https://s.mj.run/L-2FP4MIUDI setting from the desert scene of the 2001 Space Odyssey in the style of Oskar Fischinger, geometric, minimalstic, subtle gradient, soft tonal colors, surreal, pre historic --ar 16:9 --v 5.2 Desert Maxima Widera widera																												
06	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/06_Objekte_Nguyen_13.png	Objekte  tall thin rectangular monolith from space odyssey in the middle, Stone age rocky desert under a sunrise, analog style photography, orange hues, rugged terrain, centered composition, natural landscape filled with prehistoric character	Stop-Motion orange Textelien	Tuan Nguyen	nguyen																												
34	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/OduroMensah_Gwen_Debrah_Eunice/013_adaption_OduroMensah_Debrah02.jpg	Objekt Create the monolith inspired by the movie a space odyssey. Curved elements and wholes. Retro style and colors. Fashio and new. Negative prompts: no human Gwen Oduro-Mensah Eunice Debrah																													
35	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/OduroMensah_Gwen_Debrah_Eunice/013_adaption_OduroMensah_Debrah03.jpg	Objekt Create the monolith inspired by the movie a space odyssey. Curved elements and wholes. Retro style and colors. Fashio and new. Negative prompts: orange Gwen Oduro-Mensah Eunice Debrah																													
36	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/OduroMensah_Gwen_Debrah_Eunice/013_adaption_OduroMensah_Debrah04.jpg	Objekt Create the monolith inspired by the movie a space odyssey. Curved elements and wholes. Retro style and colors. Fashio and new. Negative prompts: orange Gwen Oduro-Mensah Eunice Debrah																													
37	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/OduroMensah_Gwen_Debrah_Eunice/013_adaption_OduroMensah_Debrah05.jpg	Objekt Create the monolith inspired by the movie a space odyssey. Curved elements and wholes. Retro style and colors. Fashio and new. Negative prompts: orange Gwen Oduro-Mensah Eunice Debrah																													
38	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/OduroMensah_Gwen_Debrah_Eunice/013_adapton_OduroMensah_Debrah01.jpg	Objekt Create the monolith inspired by the movie a space odyssey. Curved elements and wholes. Retro style and colors. Fashio and new. Negative prompts: no human Gwen Oduro-Mensah Eunice Debrah																													
38	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_055_013.jpg	Adaptionen  an upside down pyramid with a transparent glass gate. It is hovering a few inches above the ground. It is out in the open. The background landscape is that of a deserted, dystopian planet that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere.  Landender Monolith 1/4  Swaantje Meyer  meyer																													
39	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_056_013.jpg	Adaptionen  an upside down pyramid with a transparent glass gate. It is hovering a few inches above the ground. It is out in the open. The background landscape is that of a deserted, dystopian planet that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere.  Landender Monolith 2/4  Swaantje Meyer  meyer																													
40	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_057_013.jpg	Adaptionen  an upside down pyramid with a transparent glass gate. It is hovering a few inches above the ground. It is out in the open. The background landscape is that of a deserted, dystopian planet that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere.  Landender Monolith 3/4  Swaantje Meyer  meyer																													
41	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_058_013.jpg	Adaptionen  an inverted, free standing pyramid with a transparent glass gate. It is hovering a few inches above the ground. It is out in the open. The background landscape is that of a deserted, dystopian planet that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere.  Landender Monolith 4/4  Swaantje Meyer  meyer																													
42	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_059_013.jpg	Adaptionen  an inverted, free standing pyramid with a transparent glass gate. It is hovering a few inches above the ground. It is out in the open. The background landscape is that of a deserted, dystopian planet that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere.  Monolith 1/3  Swaantje Meyer  meyer																													
43	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_060_013.jpg	Adaptionen  an upside down pyramid with a transparent glass gate. It is hovering a few inches above the ground. It is out in the open. The background landscape is that of a deserted, dystopian planet that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere.  Monolith 2/3  Swaantje Meyer  meyer																													
44	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ries_Johanna/03_Adaption_Ries_Johanna_013.jpg	Adaptionen	Simple rectangular stone monolith in a desolate landscape; Smooth surface of the mountains; It should look like it was printed from a 3D printer;  SpacePrint  Johanna Ries  ries																												
45	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Blumstein_Alina/01_Szenen_Blumstein_Alina_013.jpg	Szenen	Everything melts heavily, abstract, art  Abstract Monolith  Alina Blumstein  blumstein																												
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Rothe_P_Langer_J/01_Charaktere_Paul_Rothe_013.jpg	Charaktere  https://s.mj.run/2dSI4r8FHEQ male Egyptian military leader fighting against an army on stage wearing a space suit from a space odyssey, costume design Iris van Herpen mixed with digital screens and inspired by the movie 2001: a space odyssey, kodak 800, full fram --style 2tO1HJiv5yw8O2c4sB2XCFfCJ --ar 16:9 --v 5.2 --iw 0  survival of the fittest  Paul und Jannis  rothe																													
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Rothe_P_Langer_J/02_Charaktere_Paul_Rothe_013.jpg	Charaktere  https://s.mj.run/VqxMuQOY0WY male Egyptian military leader fighting against an army on stage wearing a space suit from a space odyssey, costume design Iris van Herpen mixed with digital screens and inspired by the movie 2001: a space odyssey, kodak 800, full fram --style 2tO1HJiv5yw8O2c4sB2XCFfCJ --ar 16:9 --v 5.2 --iw 0  survival of the fittest  Paul und Jannis  rothe																													
02	\Datenbank\Videos\03_Adaption_Kroeger_Alexandra_013.mp4	Adaption	create an abstract yet spatial representation using only the colors bright yellow, beige, and cool blue	Ligeti:Requiem	Alexandra Kroeger  																										
48	hhttps://github.com/maroeplin/bvk-128-03/blob/main/Projektserie/Thuernau_Laura/01_Szenen_Thuernau_Laura_Monolith_013.jpg  Szenen  As the monolith crumbles and falls, its shattered pieces take flight, swirling and dancing in the air like a chaotic symphony  Monolith  Laura Thuernau  thuernau																														
00	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/00_Gisevius_Sara_Monolith_1.jpg  Objekte	Create a rectangular halfway see-through air inflated monolith out of halfway see-through plasticfoil on a lost planet  Der Monolith 1  Sara Gisevius  gisevius																													
00	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/00_Gisevius_Sara_Monolith_2.jpg  Objekte	Create a rectangular halfway see-through air inflated monolith out of halfway see-through plasticfoil on a lost planet  Der Monolith 2  Sara Gisevius  gisevius																													
=======																															
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Giessmann_Alina/03_Adaption_Giessmann_Alina_Monolith_3.jpg	Adaption	landscape, monolith, Organic forms, Curved lines, Antoni Gaudi, organic architecture, Asymmetry, Natural forms, Whiplash curves, Aesthetic movement, organic rooms, Biomimicry,  out of Space, hexagonal structure, honeycomb	Monolith 3	Alina Giessmann	giessmann																									
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/01_Szenen_Knauer_Sarah_monolith_05.jpg	Szenen	Lorem ipsum dolor sit amet	Monolith	Sarah Knauer	knauer																									
07	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/00_Objekt_N%C3%B5ulik_Romy_00.jpg	Objekte	the thing in the center is made of colorful stained glass depicting abstract shapes and patterns. The light passes through the glass. In the background there is the desert	Titel	Romy Noulik	noulik																									
00	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/00_Objekte_Matzick_Monolith%20(4).jpg	Objekte	In the midst of the arid desert, a monolith stands tall, its surface adorned with a tapestry of greenery. The plants seem to have a life of their own, as they twist and turn around the monolith, creating a mesmerizing display of nature's beauty. This is a true oasis in the desert.	Monolith	Isabel Matzick	matzick																									
00	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/00_Objekte_Matzick_Monolith%20(3).jpg	Objekte	A towering monolith stands tall in the middle of a barren desert, its surface covered in a lush layer of overgrown plants and wildflowers. The contrast between the harsh landscape and the vibrant greenery creates a stunning visual.	Monolith	Isabel Matzick	matzick																									
00	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/00_Objekte_Matzick_Monolith%20(2).jpg	Objekte	Step into a world of contrasts as you witness the Monolith from 2001: A Space Odyssey, standing stoically in a desert oasis. The barren landscape is unexpectedly filled with vibrant plant life, creating a surreal and captivating scene.	Monolith	Isabel Matzick	matzick																									
00	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/00_Objekte_Matzick_Monolith%20(1).jpg	Objekte	Explore the mysterious Monolith from 2001: A Space Odyssey, standing tall in the middle of a desert landscape. Surrounded by lush greenery and overgrown weeds, the Monolith appears ancient and abandoned.	Monolith	Isabel Matzick	matzick																									
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Giessmann_Alina/03_Adaption_Giessmann_Alina_Monolith_2.jpg	Adaption	landscape, monolith, Organic forms, Curved lines, Antoni Gaudi, organic architecture, Asymmetry, Natural forms, Whiplash curves, Aesthetic movement, organic rooms, Biomimicry,  out of Space, hexagonal structure, honeycomb	Monolith 2	Alina Giessmann	giessmann																									
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Giessmann_Alina/03_Adaption_Giessmann_Alina_Monolith_3.jpg	Adaption	landscape, monolith, Organic forms, Curved lines, Antoni Gaudi, organic architecture, Asymmetry, Natural forms, Whiplash curves, Aesthetic movement, organic rooms, Biomimicry,  out of Space, hexagonal structure, honeycomb	Monolith 3	Alina Giessmann	giessmann																									
05	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/05_Szenen_Jakob_Vasilega_Sarah_Dariia_013.png	Szenen	make more russian, soviet union, tundra, atmosphere of the movie solaris by Andrei Tarkowski, lonely, wasted, keep apes as is	Affen & Monolith	Sarah Jakob Dariia Vasilega	jakob vasilega														20	/Users/merlereimers/Desktop/bvk-128-03/Touchdesigner/131223_Projektdatei_Datenvisualisierung/131223_Projektdatei_Datenvisualisierung/Datenbank/Videos/00_Objekte_Reimers_Gläserne_Monolithe1und2.mp4	Objekte	the thing in the center is made of colorful stained glass depicting abstract shapes and patterns. The light passes through the glass. In the background there is the desert	Gläserne_Monolithe 1 und 2	Merle Reimers	reimers																									
22	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/03_Adaptionen_Schmidt_Monolith_013.jpg	Adaption	A mysterious and otherworldly image of a steampunk monolith standing in a desert landscape. The monolith is rectangular and tall, and it is made of copper, brass, gears, valves, and leather. The monolith has a faint glow, which creates a sense of wonder and awe. The landscape is a vast desert, and it is set in the late afternoon hours. The sky is a dark orange, and the sun is just starting to set. The landscape is dotted with large, organic rock formations. The horizon is hazy. The monolith takes up a large portion of the image, and it looms over the landscape. The overall scene is dark, cool, and slightly misty. It has a calm, mystical, and futuristic atmosphere.	Monolith in Wüstenlandschaft (Serie 01/02)	Lena Schmidt	schmidt																									
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/03_Adaptionen_Guth_Antonia_013.jpg	Adaptionen	Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, weird monolith	Stop Motion	Antonia Guth	guth																									
14	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Freynhagen_Hannah/01_Szenen_Freynhagen_Hannah_013_00.jpg	Szenen  fake apes in a modern museum standing opposite of a big black screen with information  Gorilla Screens  Hannah Freynhagen  freynhagen																													
15	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Freynhagen_Hannah/01_Szenen_Freynhagen_Hannah_013_01.jpg	Szenen	apes as greek statues in a museum the walls are orange in the middle of a room is a huge stone block  Gorilla Statuen   Hannah Freynhagen  freynhagen																												
16	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Rein_Jessica/01_Szenen_Rein_Jessica_013.jpg	Szenen	Turn this scene in the style of "Alice in Wonderland" (2010, director Tim Burton) with just a few accents --no person, human, face, people	Monolith	Jessica Rein	rein																									
26	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Stein_Nathalie/03_Adaption_Stein_013.jpg	Adaption	a solid black monolith in the style of "H.R. Giger" standing in a wasteland ; the monolith is made up of organic and inorganic shapes like a biomechanical spaceship console  Monolith	Nathalie Stein	stein																										
10	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Lai_Sarah_Nathalie/10_Adaption_Lai_Sarah_01.png	destroyed spaceship on the ground midsommar cosmic horror surreal lovecraftian 2001 a space odyssey bright daylight cinematic  Adaption Sarah Lai  lai																													
10	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Lai_Sarah_Nathalie/10_Adaption_Lai_Sarah_02.png	destroyed spaceship on the ground midsommar cosmic horror surreal lovecraftian 2001 a space odyssey bright daylight cinematic  Adaption Sarah Lai  lai																													
10	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Lai_Sarah_Nathalie/10_Adaption_Lai_Sarah_03.png	destroyed spaceship on the ground midsommar cosmic horror surreal lovecraftian 2001 a space odyssey bright daylight cinematic	Adaption	Sarah Lai	lai																										
30	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Wojciechowski_Daniel/01_Szenen_Wojciechowski_VastDesert-5_013.jpg	Szenen	analog style, "Reimagine the cinematic landscape of '2001: A Space Odyssey' in a surreal and detailed desert setting. Transform the iconic scenes, introducing weird and unconventional elements while preserving the vastness of the desert. The scene should be captured through the lens of a Hasselblad camera to evoke a timeless and nuanced aesthetic. Introduce peculiar rock formations and hills that defy the laws of gravity, creating an otherworldly and dreamlike atmosphere. Encourage the AI to experiment with unique lighting conditions, casting unusual shadows across the desert landscape. The goal is to generate a reimagination of '2001: A Space Odyssey' that is both visually striking and conceptually rich, introducing weird yet captivating details within the vastness of the desert, all captured through the lens of a Hasselblad camera."	VastDesert-5	Daniel Wojciechowski	wojciechowski																									
31	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Widera_Maxima/03_Adaption_Widera_Maxima_013.png	Adaption	https://s.mj.run/L-2FP4MIUDI setting from the desert scene of the 2001 Space Odyssey in the style of Oskar Fischinger, geometric, minimalstic, subtle gradient, soft tonal colors, surreal, pre historic --ar 16:9 --v 5.2 Desert Maxima Widera widera																												
06	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/013/06_Objekte_Nguyen_13.png	Objekte	tall thin rectangular monolith from space odyssey in the middle, Stone age rocky desert under a sunrise, analog style photography, orange hues, rugged terrain, centered composition, natural landscape filled with prehistoric character Stop-Motion orange Textelien Tuan Nguyen nguyen																												
34	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/OduroMensah_Gwen_Debrah_Eunice/013_adaption_OduroMensah_Debrah02.jpg	Objekt Create the monolith inspired by the movie a space odyssey. Curved elements and wholes. Retro style and colors. Fashio and new. Negative prompts: no human Gwen Oduro-Mensah Eunice Debrah																													
35	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/OduroMensah_Gwen_Debrah_Eunice/013_adaption_OduroMensah_Debrah03.jpg	Objekt Create the monolith inspired by the movie a space odyssey. Curved elements and wholes. Retro style and colors. Fashio and new. Negative prompts: orange Gwen Oduro-Mensah Eunice Debrah																													
36	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/OduroMensah_Gwen_Debrah_Eunice/013_adaption_OduroMensah_Debrah04.jpg	Objekt Create the monolith inspired by the movie a space odyssey. Curved elements and wholes. Retro style and colors. Fashio and new. Negative prompts: orange Gwen Oduro-Mensah Eunice Debrah																													
