nummer	path	filter	prompt	titel	autor	projektuebersicht																				
26	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ludwig_Sarah/01_Szenen_Ludwig_Sarah_132_02.jpg	Szenen	a wide natural landscape with big plants with biomimetic biomorphic bionic shapes emerging from the ground inside of a bionic spaceship interior, intricate details, luminous, ethereal, edgy, sculptural, cinematic, photorealistic	EVA Pod	Sarah Ludwig	ludwig																				
27	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ludwig_Sarah/01_Szenen_Ludwig_Sarah_132_01.jpg	Szenen	Generate a visually compelling representation of Hal, the artificial intelligence from '2001: A Space Odyssey but with biomorphic features inspired by the structure of mycelium. Dynamic Composition, typical science fiction color scheme with high contrast, monochromatic, gloomy atmosphere, foggy, misty, dawn, artificial light, cinematic color grade and look, photorealistic, wide angle shot	Biomorphic Architecture	Sarah Ludwig	ludwig																				
28  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/132/01_Adaption_Niemann_Victoria_132.jpg  	Adaption  	Incorporate Bauhaus principles into a set design for the spacecraft bedroom interior in '2001: A Space Odyssey.' Explore the use of geometric, abstract forms and a harmonious color palette. The interior should be very minimalistic.  	bedroom  	Victoria Niemann  	niemann																				
29  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/132/02_Adaption_Niemann_Victoria_132.jpg  	Adaption  	Incorporate Bauhaus principles into a set design for the spacecraft bedroom interior in '2001: A Space Odyssey.' Explore the use of geometric, abstract forms and a harmonious color palette. The interior should be very minimalistic.  	bedroom  	Victoria Niemann  	niemann																				
30  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/132/03_Adaption_Niemann_Victoria_132.jpg  	Adaption  	Incorporate Bauhaus principles into a set design for the spacecraft bedroom interior in '2001: A Space Odyssey.' Explore the use of geometric, abstract forms and a harmonious color palette. The interior should be very minimalistic.	Titel	 Victoria Niemann  	niemann																				
31  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/132/04_Adaption_Niemann_Victoria_132.jpg  	Adaption  	Incorporate Bauhaus principles into a set design for the spacecraft bedroom interior in '2001: A Space Odyssey.' Explore the use of geometric, abstract forms and a harmonious color palette. The interior should be very minimalistic.  	Titel	Victoria Niemann  	niemann																				
18  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/132/03_Adaptionen_Guth_Antonia_132_00.jpg  	Adaptionen  	Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, weird bathroom  	Stop Motion  	Antonia Guth  	guth																				
19  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/132/03_Adaptionen_Guth_Antonia_132_01.jpg  	Adaptionen  	Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, weird room  	Stop Motion  	Antonia Guth  	guth																				
20  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/132/03_Adaptionen_Guth_Antonia_132_02.jpg  	Adaptionen  	Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, weird room  	Stop Motion  	Antonia Guth  	guth																				
29	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Rein_Jessica/02_Charaktere_Rein_Jessica_132.jpg	Charaktere	Use composition but make it the hatter of alice in wonderlad	Does anyone need anything?	Jessica Rein	rein																				
30  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/132/05_Adaption_Niemann_Victoria_132.jpg  	Adaption  	Incorporate Bauhaus principles into a set design for the spacecraft bedroom interior in '2001: A Space Odyssey.' Explore the use of geometric, abstract forms and a harmonious color palette. The interior should be very minimalistic.  	Titel	Victoria Niemann  	niemann																				
23  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Stein_Nathalie/03_Adaption_Stein_132.jpg  	Adaption  	"a round drone laying in a biomechanical roccoco inspired room rendered in the style of "HR Giger"  	Bedroom 01  	Nathalie Stein  	stein																				
24  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/132/02_Charaktere_Guth_Antonia_132.jpg  	Charaktere  	Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, weird figure laying  	Stop Motion  	Antonia Guth  	guth																				
25  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Widera_Maxima/03_Adaption_Widera_Maxima_132.jpg  	Adaption  	https://s.mj.run/WKi1YK-oad8 2001 Space Odyssey baroque inspired room, bed, chairs, tables, Odyssey, spherical structure, pvc material, polygonal, translucent, in style of Oskar Fischinger, Len Lye, geometric, minimalism, neoplasticism, subtle gradient, cold colors, surreal --no symmetry --ar 16:9 --v 5.2  	Revelation  	Maxima Widera  	widera																				
37  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/132/37_Szenen_Nguyen_132.png  	Szenen  	space bed room, set design, centred composition, yellow hue, glow light tiled floor  Stop-Motion gelbe Textilien: 	Wiedergeburt  	Tuan Nguyen  	nguyen																				
26  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Saathoff_Katharina/03_Adaptionen_Saathoff_Planet9_132.jpg  	Adaptionen  	create a concept of a chair in a spaceship, The outdoor environments in this science fiction world would echo Kubrick's affinity for vast, barren, and futuristic landscapes  	Sessel  	Katharina Saathoff  	saathoff																				
28  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_001_132.jpg  	Adaptionen  	living room  	Raumstation Außenposten 1/7  	Swaantje Meyer  	meyer																				
29  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ries_Johanna/03_Adaption_Ries_Johanna_132.jpg  	Adaptionen  	Large, elegant room with one bed; old-fashioned furniture; it should look like it was 3D printed;  	SpacePrint  	Johanna Ries  	ries																				
00	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Haarmann_R_Faesel_L/00_Objekt_Haarmann_R_Faesel_L_132.jpg	Objekt	I bathroom in aardman animation style, claymation, goofy, colorful	blueroom	Rose Haarmann, Lara Faesel	haarmann																				
31	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Blumstein_Alina/01_Szenen_Blumstein_Alina_132.jpg  	Szenen  	everything melts heavily, abstract, art  	Abstract Room  	Alina Blumstein  	blumstein																				
32  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/132/01_Objekte_Schwarzfeld_David_132.jpg  	Objekte  	A dynamically revolving space station consists of three interconnected capsules stacked vertically, linked to a counterweight by sturdy steel cables, orbiting in outer space against the backdrop of Mars. This breathtaking image, likely a captivating painting, showcases the primary subject's impressive structure. Its centrifugal movement creates a mesmerizing spectacle, with the vibrant red planet adding a dramatic touch. Impeccably detailed, the capsules appear sleek and futuristic, while the steel cables convey a sense of strength and precision. The image's exceptional clarity and vivid colors immerse viewers in a vision of advanced technology and awe-inspiring cosmic beauty.  	"Galaxisum"  	David Schwarzfeld  	schwarzfeld																				
33  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/132/02_Objekte_Schwarzfeld_David_132.jpg  	Objekte  	imagine a centrifugal rotating space station separated into three capsules stacked on top of each other connected to a counterweight via steel cables, spinning in outer space with the mars in the background  	"Galaxisum"  	David Schwarzfeld  	schwarzfeld																				
34  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/132/03_Objekte_Schwarzfeld_David_132.jpg  	Objekte  	A dynamically revolving space station consists of three interconnected capsules stacked vertically, linked to a counterweight by sturdy steel cables, orbiting in outer space against the backdrop of Mars. This breathtaking image, likely a captivating painting, showcases the primary subject's impressive structure. Its centrifugal movement creates a mesmerizing spectacle, with the vibrant red planet adding a dramatic touch. Impeccably detailed, the capsules appear sleek and futuristic, while the steel cables convey a sense of strength and precision. The image's exceptional clarity and vivid colors immerse viewers in a vision of advanced technology and awe-inspiring cosmic beauty.  	"Galaxisum"  	David Schwarzfeld  	schwarzfeld																				
00	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Haarmann_R_Faesel_L/00_Objekt_Haarmann_R_Faesel_L_132.png	Objekt	create a scene in the simple and modeling clay style of claymation featuring the A Space Odyssey. The scene should evoke the simple and handmade aesthetic from a the movie: shaun the sheep, with earth colors, playful composition, futuristic details. focus on the character design, not on the set charm and visual storytelling of a claymation animation. This image should make the viewer feel as if they‘ve stumbled upon a claymation-space odyssey.	venus	Rose Haarmann, Lara Faesel  haarmann																					
																										
01  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_132_01.jpg  Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ beim Grand Canyon. Integriere das futuristische Universum. Raumschiff. Noir. HAL 9000.  AI Odyssey:A Global Journey  Alina Müller  mueller																									
02  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_132_02.jpg  Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ beim Grand Canyon. Integriere das futuristische Universum. Raumschiff. Noir. HAL 9000.  AI Odyssey:A Global Journey  Alina Müller  mueller																									
03  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_132_03.jpg  Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ beim Grand Canyon. Integriere das futuristische Universum. Raumschiff. Noir. HAL 9000.  AI Odyssey:A Global Journey  Alina Müller  mueller																									
04  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_132_04.jpg  Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ beim Grand Canyon. Integriere das futuristische Universum. Raumschiff. Noir. HAL 9000.  AI Odyssey:A Global Journey  Alina Müller  mueller																									
05  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_132_05.jpg  Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ beim Grand Canyon. Integriere das futuristische Universum. Raumschiff. Noir. HAL 9000.  AI Odyssey:A Global Journey  Alina Müller  mueller																									
06 	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_132_06.jpg  Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ beim Grand Canyon. Integriere das futuristische Universum. Raumschiff. Noir. HAL 9000.  AI Odyssey:A Global Journey  Alina Müller  mueller																									
07  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_132_07.jpg  Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ beim Grand Canyon. Integriere das futuristische Universum. Raumschiff. Noir. HAL 9000.  AI Odyssey:A Global Journey  Alina Müller  mueller																									
08  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_132_08.jpg  Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ beim Grand Canyon. Integriere das futuristische Universum. Raumschiff. Noir. HAL 9000.  AI Odyssey:A Global Journey  Alina Müller  mueller																									
09  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_132_09.jpg  Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ beim Grand Canyon. Integriere das futuristische Universum. Raumschiff. Noir. HAL 9000.  AI Odyssey:A Global Journey  Alina Müller  mueller																									
10 	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Mueller_Alina/01_Szene_Mueller_Alina_132_10.jpg  Erzeuge eine Szene aus dem Film „2001: A Space Odyssey“ beim Grand Canyon. Integriere das futuristische Universum. Raumschiff. Noir. HAL 9000.  AI Odyssey:A Global Journey  Alina Müller  mueller
48	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Thuernau_Laura/00_Objekte_Thuernau_Laura_Kommode_132.jpg	Objekte	exploding building components of a beige futuristic decaying semicircular vintage chest of drawers, blurred white futuristic still noble room with a high ceiling and light stucco decorations as background, expire shattered fragments from the drawers, deconstruct the drawers and arrange the trays in a false order, shattered finished surface, sharp focus, intricate details, highly detailed, swirls of gloomy galactic lights and dust particles in the dark background, dangerous touch, slightly devastated and lost scenery set up, product photography, divine touch	Kommode	Laura Thürnau	thuernau
49	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Thuernau_Laura/00_Objekte_Thuernau_Laura_Stuhl_132.jpg	Objekte	exploding building components of a beige  futuristic decaying vintage chic chair with a seat cushion, blurred white futuristic still noble room with a high ceiling and light stucco decorations as background, chair falling apart, no gravity, exploding, with deconstructive finished surface, sharp focus, studio photo, intricate details, highly detailed, standing in an ruinous and devastated white meeting hall, add hovering shattered fragments expiring from the chair, make the background blurry, swirl of dust and splinters and galactic particles vanish into the dark atmosphere, divine touch	Stuhl	Laura Thürnau	thuernau
