nummer	path	filter	prompt	titel	autor	projektuebersicht
17	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/054/17_Objekte_Nguyen_054.png	Objekte	warm pink hue, thin tall black monolith, space odyssey	Stop-Motion	pink Textilien	Tuan Nguyen	nguyen	
18	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/056/18_Szenen_Nguyen_056.png	Szenen	analog style, spaceship outer space, warm purple hue	Stop-Motion lila Textilien	Tuan Nguyen	nguyen	
19	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/062/19_Charaktere_Nguyen_062.png	Charaktere	analog style, a happy face HAL 9000, natural lighting, warm purple hue	Stop-Motion lila Textilien	Tuan Nguyen	nguyen
20	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/063/20_Szenen_Nguyen_063.png	Szenen	analog style, spaceship interior, set design, warm purple hue, directed by Wes Anderson	Stop-Motion lila Textilien	Tuan Nguyen	nguyen
21	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/071/21_Szenen_Nguyen_071.png	Szenen	analog style, 2001 space odyssey, purple hue, astronaut in a spaceship, centered composition	Stop-Motion lila Textilien	Tuan Nguyen	nguyen						
22	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/071/22_Szenen_Nguyen_071.png	Szenen	analog style, 2001 space odyssey, purple hue, astronaut in cockpit of a spaceship	Stop-Motion lila Textilien	Tuan Nguyen	nguyen
23	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/072/23_Charaktere_Nguyen_072.png	Charaktere	analog style, Control panel Hal 9000 from space odyssey, centered composition, purple hue	Stop-Motion lila Textilien	Tuan Nguyen	nguyen
24	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/083/24_Charaktere_Nguyen_083.png	Charaktere	analog style, a happy face HAL 9000, natural lighting, warm purple hue	Stop-Motion lila Textilien	Tuan Nguyen	nguyen					
25	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/083/25_Charaktere_Nguyen_083.png	Charaktere	retro-futuristic, Control Panel HAL 9000, 2001: Space Odyssey, Wes Anderson film, set design, symmetrical	Hal 9000 aus Wolle	Tuan Nguyen	nguyen	
26	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/086/26_Szenen_Nguyen_086.png	Szenen	analog style, fish-eyed perspective, two astronauts talking to each other, warm purple hue	Stop-Motion lila Textilien	Tuan Nguyen	nguyen	
27	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/098/27_Szenen_Nguyen_098.png	Szenen	analog style, small astronaut in big zero gravity, centered composition, bright blue hue	Stop-Motion blaue Textilien	Tuan Nguyen	nguyen	
28	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/107/28_Charaktere_Nguyen_107.png	Charaktere	analog style, server room in spaceship, set design, directed by Wes Andersonanalog style, angry astronaut portrait, turquoise hue	Stop-Motion blaue Textilien	Tuan Nguyen	nguyen	
29	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/111/29_Charaktere_Nguyen_111.png	Charaktere	analog style, astronaut turning off Hal 9000 from space odyssey, bright blue hue	Stop-Motion blaue Textilien	Tuan Nguyen	nguyen						
30	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/111/30_Szenen_Nguyen_111.png	Szenen	astronaut, Wes Anderson film, centered composition	Stop-Motion blaue Textilien	Tuan Nguyen	nguyen	
31	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/113/31_Szenen_Nguyen_113.png	Szenen	analog style, astronaut without a helmet taking computer out server room spaceship, turquoise hue, minimalistic	Stop-Motion blaue Textilien	Tuan Nguyen	nguyen	
32	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/115/32_Charaktere_Nguyen_115.png	Charaktere	analog style, Hal 9000 from space odyssey being shut off, turquoise hue	Stop-Motion blaue Textilien	Tuan Nguyen	nguyen	
33	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/116/33_Szenen_Nguyen_116.png	Szenen	analog style, astronaut in zero gravity, centered composition, bright blue hue, landscape shot	Stop-Motion blaue Textilien	Tuan Nguyen	nguyen
34	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/124/34_Szenen_Nguyen_124.png	Szenen	abstract, space, light tunnel, green hue, centred composition	Stop-Motion grüne Textilien	Tuan Nguyen	nguyen
35	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/128/35_Szenen_Nguyen_128.png	Szenen	abstract, outer space, green hue	Stop-Motion grüne Textilien	Tuan Nguyen	nguyen
36	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/130/36_Szenen_Nguyen_130.png	Szenen	abstract, space, light tunnel, green hue, centred composition	Stop-Motion grüne Textilien	Tuan Nguyen	nguyen
37	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/132/37_Szenen_Nguyen_132.png	Szenen	space bed room, set design, centred composition, yellow hue, glow light tiled floor	Stop-Motion gelbe Textilien: Wiedergeburt	Tuan Nguyen	nguyen
38	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/139/38_Szenen_Nguyen_139.png	Szenen	abstract, glowing baby embryo, centred composition, yellow hue	Stop-Motion gelbe Textilien: Wiedergeburt	Tuan Nguyen	nguyen						
39	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/139/39_Szenen_Nguyen_139.png	Szenen	baby in an embryo, yellow hue, centered composition	Stop-Motion gelbe Textilien: Wiedergeburt	Tuan Nguyen	nguyen						
40	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/139/40_Szenen_Nguyen_139.png	Szenen	baby in an embryo, yellow hue, centered composition	Stop-Motion gelbe Textilien: Wiedergeburt	Tuan Nguyen	nguyen
